what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410256590
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1263410256604
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263410257047
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1263410260605
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410261668
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410263123
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410263248
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410265005
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410268590
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410271633
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410271689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410276670
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1263410276683
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410276715
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410278266
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1263410278839
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263410283416
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1263410305463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410307366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410309217
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1263410309672
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263410314522
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1263410321994
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410322026
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263410323375
